id,title,tags,niche,productType,status
design_36,"Bitcoin to the Moon 2026","bitcoin,crypto,btc,moon,hodl",crypto,t-shirt,ready_to_publish
design_37,"Long Term Investor","investor,long-term,stocks,portfolio,wealth",investing,mug,ready_to_publish
design_38,"ChatGPT My Therapist","chatgpt,ai,funny,tech,meme",AI,poster,ready_to_publish
design_39,"Technical Analysis Expert","technical-analysis,charts,trading,crypto,stocks",trading,sticker,ready_to_publish
design_40,"21 Million Club","bitcoin,21-million,btc,crypto,scarcity",bitcoin,phone-case,ready_to_publish
design_41,"Bitcoin to the Moon 2026","bitcoin,crypto,btc,moon,hodl",crypto,t-shirt,ready_to_publish
design_42,"Dividend King","dividend,stocks,passive-income,investing,money",investing,mug,ready_to_publish
design_43,"AI Will Not Replace You","ai,jobs,technology,future,work",AI,poster,ready_to_publish
design_44,"Day Trader Life","day-trader,trading,stocks,crypto,forex",trading,sticker,ready_to_publish
design_45,"Satoshi Nakamoto Fan","satoshi,bitcoin,crypto,btc,founder",bitcoin,phone-case,ready_to_publish